player_id,name_first,name_last,hand,dob,ioc,height
100644,Alexander,Zverev,R,19970420.0,GER,198.0
102093,Martin,Damm,L,20030930.0,USA,203.0
103499,Aqeel,Khan,R,19800130.0,PAK,
103529,Aisam Ul Haq,Qureshi,R,19800317.0,PAK,183.0
104112,Benjamin,Balleret,R,19830115.0,MON,185.0
104470,Komlavi,Loglo,R,19841230.0,TOG,183.0
104527,Stan,Wawrinka,R,19850328.0,SUI,183.0
104745,Rafael,Nadal,L,19860603.0,ESP,185.0
104755,Richard,Gasquet,R,19860618.0,FRA,183.0
104792,Gael,Monfils,R,19860901.0,FRA,193.0
104898,Robin,Haase,R,19870406.0,NED,191.0
104907,Jose Rubin,Statham,R,19870425.0,NZL,180.0
104918,Andy,Murray,R,19870515.0,GBR,191.0
104925,Novak,Djokovic,R,19870522.0,SRB,188.0
104926,Fabio,Fognini,R,19870524.0,ITA,178.0
105051,Matthew,Ebden,R,19871126.0,AUS,188.0
105062,Mikhail,Kukushkin,R,19871226.0,KAZ,183.0
105077,Albert,Ramos,L,19880117.0,ESP,188.0
105138,Roberto,Bautista Agut,R,19880414.0,ESP,183.0
105173,Adrian,Mannarino,L,19880629.0,FRA,180.0
105227,Marin,Cilic,R,19880928.0,CRO,198.0
105271,Gonzalo,Escobar,L,19890120.0,ECU,178.0
105311,Joao,Sousa,R,19890330.0,POR,185.0
105332,Benoit,Paire,R,19890508.0,FRA,196.0
105430,Radu,Albot,R,19891111.0,MDA,175.0
105449,Steve,Johnson,R,19891224.0,USA,188.0
105453,Kei,Nishikori,R,19891229.0,JPN,178.0
105477,Marco,Trungelliti,R,19900131.0,ARG,178.0
105487,Facundo,Bagnis,L,19900227.0,ARG,183.0
105502,N Sriram,Balaji,R,19900318.0,IND,180.0
105526,Jan Lennard,Struff,R,19900425.0,GER,193.0
105554,Daniel,Evans,R,19900523.0,GBR,175.0
105575,Ricardas,Berankis,R,19900621.0,LTU,175.0
105577,Vasek,Pospisil,R,19900623.0,CAN,193.0
105583,Dusan,Lajovic,R,19900630.0,SRB,183.0
105613,Norbert,Gombos,R,19900813.0,SVK,193.0
105621,Min Kyu,Song,R,19900825.0,KOR,183.0
105633,Mohamed,Safwat,R,19900919.0,EGY,180.0
105656,Marcelo,Arevalo,R,19901017.0,ESA,193.0
105657,Marius,Copil,R,19901017.0,ROU,191.0
105676,David,Goffin,R,19901207.0,BEL,180.0
105683,Milos,Raonic,R,19901227.0,CAN,196.0
105714,Hugo,Nys,R,19910216.0,MON,185.0
105731,Steven,Diez,R,19910317.0,CAN,175.0
105732,Pierre Hugues,Herbert,R,19910318.0,FRA,188.0
105777,Grigor,Dimitrov,R,19910516.0,BUL,191.0
105806,Mirza,Basic,R,19910712.0,BIH,188.0
105807,Pablo,Carreno Busta,R,19910712.0,ESP,188.0
105815,Tennys,Sandgren,R,19910722.0,USA,188.0
105819,Guido,Andreozzi,R,19910805.0,ARG,183.0
105870,Yannick,Hanfmann,R,19911113.0,GER,193.0
105877,Emilio,Gomez,R,19911128.0,ECU,185.0
105902,James,Duckworth,R,19920121.0,AUS,183.0
105906,Kevin,Krawietz,R,19920124.0,GER,188.0
105911,Andrea,Collarini,L,19920131.0,ARG,183.0
105916,Marton,Fucsovics,R,19920208.0,HUN,188.0
105938,Antoine,Escoffier,R,19920229.0,FRA,185.0
105948,Federico,Coria,R,19920309.0,ARG,180.0
105985,Darian,King,R,19920426.0,BAR,188.0
106000,Damir,Dzumhur,R,19920520.0,BIH,175.0
106005,Constant,Lestienne,R,19920523.0,FRA,180.0
106033,Romain,Arneodo,R,19920804.0,MON,175.0
106034,Yasutaka,Uchiyama,R,19920805.0,JPN,183.0
106043,Diego,Schwartzman,R,19920816.0,ARG,170.0
106045,Denis,Kudla,R,19920817.0,USA,180.0
106072,Alexey,Vatutin,R,19921027.0,RUS,178.0
106075,Jozef,Kovalik,R,19921104.0,SVK,183.0
106078,Egor,Gerasimov,R,19921111.0,BLR,196.0
106085,Hamid,Reza Nadaf,R,19921119.0,IRI,183.0
106109,Alex,Bolt,L,19930105.0,AUS,183.0
106121,Taro,Daniel,R,19930127.0,JPN,191.0
106148,Roberto,Carballes Baena,R,19930323.0,ESP,183.0
106167,Joris,De Loore,R,19930421.0,BEL,191.0
106186,Jason,Kubler,R,19930519.0,AUS,178.0
106187,Denis,Yevseyev,R,19930522.0,KAZ,188.0
106198,Hugo,Dellien,R,19930616.0,BOL,180.0
106210,Jiri,Vesely,L,19930710.0,CZE,198.0
106214,Oscar,Otte,R,19930716.0,GER,193.0
106218,Marcos,Giron,R,19930724.0,USA,180.0
106220,Dimitar,Kuzmanov,R,19930728.0,BUL,183.0
106233,Dominic,Thiem,R,19930903.0,AUT,185.0
106234,Aslan,Karatsev,R,19930904.0,RUS,185.0
106262,Boris,Arias,R,19931109.0,BOL,185.0
106281,Liam,Broady,L,19940104.0,GBR,183.0
106283,Mitchell,Krueger,R,19940112.0,USA,188.0
106296,Gregoire,Barrere,R,19940216.0,FRA,183.0
106298,Lucas,Pouille,R,19940223.0,FRA,185.0
106310,Alexander,Ritschard,R,19940324.0,SUI,193.0
106329,Thiago,Monteiro,L,19940531.0,BRA,183.0
106331,Christopher,Oconnell,R,19940603.0,AUS,183.0
106368,Ramkumar,Ramanathan,R,19941108.0,IND,188.0
106397,Wishaya,Trongcharoenchaikul,R,19950408.0,THA,193.0
106398,Pedro,Cachin,R,19950412.0,ARG,185.0
106415,Yoshihito,Nishioka,L,19950927.0,JPN,170.0
106421,Daniil,Medvedev,R,19960211.0,RUS,198.0
106423,Thanasi,Kokkinakis,R,19960410.0,AUS,193.0
106426,Cristian,Garin,R,19960530.0,CHI,185.0
106432,Borna,Coric,R,19961114.0,CRO,188.0
109303,Stefano,Napolitano,R,19950411.0,ITA,196.0
109734,Skander,Mansouri,R,19950723.0,TUN,193.0
109739,Maximilian,Marterer,L,19950615.0,GER,188.0
110751,Sebastian,Fanselow,R,19911230.0,GER,
111153,Christopher,Eubanks,R,19960505.0,USA,201.0
111190,Zhizhen,Zhang,R,19961016.0,CHN,193.0
111192,Lucas,Miedler,R,19960621.0,AUT,183.0
111200,Elias,Ymer,R,19960410.0,SWE,185.0
111442,Jordan,Thompson,R,19940420.0,AUS,183.0
111454,Li,Tu,R,19960527.0,AUS,183.0
111456,Mackenzie,Mcdonald,R,19950416.0,USA,178.0
111460,Quentin,Halys,R,19961026.0,FRA,191.0
111505,Enzo,Couacaud,R,19950301.0,FRA,183.0
111513,Laslo,Djere,R,19950602.0,SRB,188.0
111575,Karen,Khachanov,R,19960521.0,RUS,198.0
111576,Sumit,Nagal,R,19970816.0,IND,178.0
111581,Michael,Mmoh,R,19980110.0,USA,188.0
111761,Benjamin,Lock,R,19930304.0,ZIM,198.0
111794,Kamil,Majchrzak,R,19960113.0,POL,180.0
111797,Nicolas,Jarry,R,19951011.0,CHI,201.0
111805,Seong Chan,Hong,R,19970630.0,KOR,175.0
111806,Fajing,Sun,R,19961003.0,CHN,178.0
111815,Cameron,Norrie,L,19950823.0,GBR,188.0
117356,Cem,Ilkel,R,19950821.0,TUR,185.0
117357,Omar,Jasika,L,19970518.0,AUS,183.0
117360,Marc,Polmans,R,19970502.0,AUS,188.0
117365,Petros,Chrysochos,R,19960408.0,CYP,185.0
118808,Daniel,Vallejo,R,19840521.0,MEX,
121411,Moez,Echargui,R,19930110.0,TUN,178.0
122078,Dmitry,Popko,R,19961024.0,KAZ,191.0
122298,Botic,Van De Zandschulp,R,19951004.0,NED,191.0
122330,Alexander,Bublik,R,19970617.0,KAZ,196.0
122533,Nam Hoang,Ly,R,19970225.0,VIE,175.0
122554,David,Jorda Sanchis,R,19940614.0,ESP,198.0
122669,Juan Pablo,Varillas,R,19951006.0,PER,185.0
123755,Daniel Elahi,Galan,R,19960618.0,COL,191.0
123795,Altug,Celikbilek,R,19960907.0,TUR,183.0
123809,Ivan,Gakhov,L,19961104.0,RUS,191.0
123828,Jan,Choinski,R,19960610.0,GBR,196.0
123961,Murkel Alejandro,Dellien Velasco,R,19970916.0,BOL,193.0
123983,Nerman,Fatic,R,19941024.0,BIH,191.0
124014,Ernesto,Escobedo,R,19960704.0,MEX,185.0
124079,Pedro,Martinez,R,19970426.0,ESP,185.0
124116,Sebastian,Ofner,R,19960512.0,AUT,191.0
124186,Alexandre,Muller,R,19970201.0,FRA,183.0
124187,Reilly,Opelka,R,19970828.0,USA,211.0
126094,Andrey,Rublev,R,19971020.0,RUS,188.0
126125,Maxime,Janvier,R,19961018.0,FRA,196.0
126127,Benjamin,Bonzi,R,19960609.0,FRA,183.0
126128,Roman,Safiullin,R,19970807.0,RUS,185.0
126129,Billy,Harris,R,19950125.0,GBR,193.0
126177,Strong,Kirchheimer,R,19950426.0,USA,185.0
126203,Taylor,Fritz,R,19971028.0,USA,196.0
126205,Tommy,Paul,R,19970517.0,USA,185.0
126207,Frances,Tiafoe,R,19980120.0,USA,188.0
126214,Alejandro,Tabilo,L,19970602.0,CHI,188.0
126239,Arthur,Rinderknech,R,19950723.0,FRA,196.0
126340,Viktor,Durasovic,R,19970319.0,NOR,185.0
126409,Hugo,Grenier,R,19960323.0,FRA,196.0
126504,Andrea,Pellegrino,R,19970323.0,ITA,185.0
126523,Bernabe,Zapata Miralles,R,19970112.0,ESP,183.0
126535,Carlos,Taberner,R,19970808.0,ESP,183.0
126555,Tung Lin,Wu,R,19980512.0,TPE,188.0
126610,Matteo,Berrettini,R,19960412.0,ITA,196.0
126646,Tim,Van Rijthoven,R,19970424.0,NED,188.0
126762,Aleksandre,Bakshi,L,19970715.0,GEO,180.0
126774,Stefanos,Tsitsipas,R,19980812.0,GRE,193.0
126845,Max,Purcell,R,19980403.0,AUS,185.0
126846,Aleksandar,Vukic,R,19960406.0,AUS,188.0
126939,Khumoun,Sultanov,R,19981027.0,UZB,180.0
126952,Soon Woo,Kwon,R,19971202.0,KOR,180.0
126964,Vitaliy,Sachko,R,19970714.0,UKR,188.0
127157,Daniel,Altmaier,R,19980912.0,GER,188.0
127195,Hamza,Karmoussi,U,,MAR,
127339,Borna,Gojo,R,19980227.0,CRO,196.0
127760,Lukas,Klein,R,19980322.0,SVK,193.0
128034,Hubert,Hurkacz,R,19970211.0,POL,196.0
131905,Manuel,Guinard,R,19951115.0,FRA,198.0
131934,Andrea,Vavassori,R,19950505.0,ITA,193.0
131951,Daniel,Cukierman,R,19950709.0,ISR,
132283,Lorenzo,Sonego,R,19950511.0,ITA,191.0
132374,Jesse,Flores,R,19950331.0,CRC,188.0
132686,Nuno,Borges,R,19970219.0,POR,185.0
133297,Yosuke,Watanuki,R,19980412.0,JPN,180.0
133430,Denis,Shapovalov,L,19990415.0,CAN,185.0
133835,Gijs,Brouwer,L,19960314.0,NED,191.0
133933,Thomas Yaka Kofi,Setodji,R,19951013.0,TOG,183.0
133975,Benjamin,Hassan,R,19950204.0,LBN,183.0
134457,Nicolas,Moreno De Alboran,R,19970714.0,USA,185.0
134770,Casper,Ruud,R,19981222.0,NOR,183.0
134868,Tallon,Griekspoor,R,19960702.0,NED,188.0
136440,Dominik,Koepfer,L,19940429.0,GER,180.0
138846,Hong Kit Jack,Wong,R,19980830.0,HKG,
144642,Tomas,Barrios Vera,R,19971210.0,CHI,191.0
144681,Niki,Kaliyanda Poonacha,R,19950427.0,IND,191.0
144684,Alex,Molcan,L,19971201.0,SVK,178.0
144719,Jaume,Munar,R,19970505.0,ESP,183.0
144747,Courtney John,Lock,R,19961018.0,ZIM,193.0
144748,Kris,Van Wyk,R,19960929.0,RSA,185.0
144750,Lloyd,Harris,R,19970224.0,RSA,193.0
144751,Rigele,Te,R,19971009.0,CHN,188.0
144775,Linh Giang,Trinh,R,19970803.0,VIE,183.0
144814,Eero,Vasa,R,19970201.0,FIN,185.0
144817,Marc Andrea,Huesler,L,19960624.0,SUI,196.0
144826,Aziz,Dougaz,L,19970326.0,TUN,188.0
144869,Tomas Martin,Etcheverry,R,19990718.0,ARG,196.0
144870,Federico Agustin,Gomez,R,19961126.0,ARG,191.0
144895,Corentin,Moutet,L,19990419.0,FRA,180.0
144909,Francisco,Cabral,R,19970108.0,POR,191.0
144927,Siddharth,Vishwakarma,L,19941007.0,IND,191.0
144932,Kristjan,Tamm,R,19980616.0,EST,185.0
144949,Menelaos,Efstathiou,R,19990302.0,CYP,183.0
149282,Nicolai,Budkov Kjaer,R,20060901.0,NOR,188.0
149843,Conor,Gannon,U,20020606.0,IRL,
200000,Felix,Auger Aliassime,R,20000808.0,CAN,193.0
200005,Ugo,Humbert,L,19980626.0,FRA,188.0
200045,Anthony,Susanto,R,19970523.0,INA,
200059,Yibing,Wu,R,19991014.0,CHN,183.0
200075,Yshai,Oliel,L,20000105.0,ISR,188.0
200116,Camilo,Ugo Carabelli,R,19990617.0,ARG,185.0
200175,Miomir,Kecmanovic,R,19990831.0,SRB,183.0
200188,Matteo,Martineau,R,19990116.0,FRA,183.0
200214,Alan Fernando,Rubio Fierros,R,19990203.0,MEX,175.0
200218,Mate,Valkusz,R,19980813.0,HUN,183.0
200221,Alejandro,Davidovich Fokina,R,19990605.0,ESP,183.0
200240,Vit,Kopriva,R,19970615.0,CZE,178.0
200259,Ugo,Blanchet,R,19990105.0,FRA,175.0
200266,Javier,Barranco Cosano,L,19981117.0,ESP,180.0
200267,Zizou,Bergs,R,19990603.0,BEL,185.0
200270,Alex,Knaff,R,19971126.0,LUX,193.0
200273,Hady,Habib,R,19980821.0,LIB,188.0
