id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
1,1,1,2008/2009,1,2008-08-17 00:00:00,492473,9987,9993,1,1,,,,,,,,,,,,,,,,,,,,,,
2,1,1,2008/2009,1,2008-08-16 00:00:00,492474,10000,9994,0,0,,,,,,,,,,,,,,,,,,,,,,
3,1,1,2008/2009,1,2008-08-16 00:00:00,492475,9984,8635,0,3,,,,,,,,,,,,,,,,,,,,,,
4,1,1,2008/2009,1,2008-08-17 00:00:00,492476,9991,9998,5,0,,,,,,,,,,,,,,,,,,,,,,
5,1,1,2008/2009,1,2008-08-16 00:00:00,492477,7947,9985,1,3,,,,,,,,,,,,,,,,,,,,,,
6,1,1,2008/2009,1,2008-09-24 00:00:00,492478,8203,8342,1,1,,,,,,,,,,,,,,,,,,,,,,
7,1,1,2008/2009,1,2008-08-16 00:00:00,492479,9999,8571,2,2,,,,,,,,,,,,,,,,,,,,,,
8,1,1,2008/2009,1,2008-08-16 00:00:00,492480,4049,9996,1,2,,,,,,,,,,,,,,,,,,,,,,
9,1,1,2008/2009,1,2008-08-16 00:00:00,492481,10001,9986,1,0,,,,,,,,,,,,,,,,,,,,,,
10,1,1,2008/2009,10,2008-11-01 00:00:00,492564,8342,8571,4,1,,,,,,,,,,,,,,,,,,,,,,
11,1,1,2008/2009,10,2008-10-31 00:00:00,492565,9985,9986,1,2,,,,,,,,,,,,,,,,,,,,,,
12,1,1,2008/2009,10,2008-11-02 00:00:00,492566,10000,9991,0,2,,,,,,,,,,,,,,,,,,,,,,
13,1,1,2008/2009,10,2008-11-01 00:00:00,492567,9994,9998,0,0,,,,,,,,,,,,,,,,,,,,,,
14,1,1,2008/2009,10,2008-11-01 00:00:00,492568,7947,10001,2,2,,,,,,,,,,,,,,,,,,,,,,
15,1,1,2008/2009,10,2008-11-01 00:00:00,492569,8203,9999,1,2,,,,,,,,,,,,,,,,,,,,,,
16,1,1,2008/2009,10,2008-11-01 00:00:00,492570,9996,9984,0,1,,,,,,,,,,,,,,,,,,,,,,
